,dataset_id,hyperparameter_name,hyperparameter_value,seed,error_rate,runtime
122,40984,return_estimate_on_incomplete_runs,True,5,0.0606,7530.0
123,40984,return_estimate_on_incomplete_runs,True,8,0.0629,5694.0
124,40984,return_estimate_on_incomplete_runs,True,2,0.0607,6521.0
125,40984,return_estimate_on_incomplete_runs,True,0,0.0597,5983.0
126,40984,return_estimate_on_incomplete_runs,True,7,0.0608,7168.0
127,40984,return_estimate_on_incomplete_runs,True,3,0.0673,5566.0
128,40984,return_estimate_on_incomplete_runs,True,9,0.052,7707.0
129,40984,return_estimate_on_incomplete_runs,True,4,0.0629,6342.0
130,40984,return_estimate_on_incomplete_runs,False,1,0.0624,7103.0
131,40984,return_estimate_on_incomplete_runs,False,6,0.0632,8383.0
132,40984,return_estimate_on_incomplete_runs,False,2,0.0607,6460.0
133,40984,return_estimate_on_incomplete_runs,False,8,0.0629,5656.0
134,40984,return_estimate_on_incomplete_runs,False,5,0.0606,7525.0
135,40984,return_estimate_on_incomplete_runs,False,7,0.0608,7159.0
136,40984,return_estimate_on_incomplete_runs,False,0,0.0597,5977.0
137,40984,return_estimate_on_incomplete_runs,False,4,0.0629,6294.0
138,40984,return_estimate_on_incomplete_runs,False,9,0.052,7671.0
139,40984,return_estimate_on_incomplete_runs,False,3,0.0673,5702.0
140,40984,base,4,7,0.058,9168.0
141,40984,base,4,0,0.0716,7689.0
142,40984,base,4,4,0.0587,7832.0
143,40984,base,4,9,0.0647,9275.0
144,40984,base,4,3,0.0674,6838.0
145,40984,base,4,1,0.0614,9238.0
146,40984,base,4,6,0.069,9437.0
147,40984,base,4,2,0.0629,7906.0
148,40984,base,4,8,0.0642,6174.0
149,40984,base,4,5,0.0591,8391.0
150,40984,base,3,9,0.0773,9644.0
151,40984,base,3,3,0.0618,6710.0
152,40984,base,3,4,0.0587,7928.0
153,40984,base,3,0,0.0597,7492.0
154,40984,base,3,7,0.06,9429.0
155,40984,base,3,5,0.0725,8485.0
156,40984,base,3,2,0.0629,7849.0
157,40984,base,3,8,0.0587,6081.0
158,40984,base,3,6,0.0605,9733.0
159,40984,base,3,1,0.0767,9336.0
160,40984,base,2,3,0.0673,5664.0
161,40984,base,2,9,0.052,7707.0
162,40984,base,2,4,0.0629,6358.0
163,40984,base,2,0,0.0597,5995.0
164,40984,base,2,7,0.0608,7169.0
165,40984,base,2,5,0.0606,7652.0
166,40984,base,2,8,0.0629,5703.0
167,40984,base,2,2,0.0607,6475.0
168,40984,base,2,6,0.0632,8279.0
169,40984,base,2,1,0.0624,7091.0
170,3,base,2,2,0.0153,3576.0
171,3,base,2,8,0.0062,2775.0
172,3,base,2,5,0.0058,3323.0
173,3,base,2,1,0.0094,4200.0
174,3,base,2,6,0.0063,5337.0
175,3,base,2,4,0.0061,3381.0
176,3,base,2,9,0.0034,4178.0
177,3,base,2,3,0.0068,3262.0
178,3,base,2,7,0.0062,4524.0
179,3,base,2,0,0.0047,3015.0
180,3,base,4,4,0.0063,5204.0
181,3,base,4,3,0.0062,4187.0
182,3,base,4,9,0.0034,5349.0
183,3,base,4,7,0.0062,5892.0
184,3,base,4,0,0.0051,3638.0
185,3,base,4,8,0.0062,3628.0
186,3,base,4,2,0.0153,4247.0
187,3,base,4,5,0.0047,4618.0
188,3,base,4,1,0.0093,6656.0
189,3,base,4,6,0.0057,6573.0
190,3,base,3,9,0.0033,6329.0
191,3,base,3,3,0.0062,4604.0
192,3,base,3,4,0.0053,5575.0
193,3,base,3,0,0.0051,4443.0
194,3,base,3,7,0.0081,6869.0
195,3,base,3,5,0.0047,5099.0
196,3,base,3,2,0.0152,4886.0
197,3,base,3,8,0.0062,4015.0
198,3,base,3,6,0.0066,7344.0
199,3,base,3,1,0.0092,7411.0
200,3,max_conf_interval_size_default,0.04,2,0.0162,4014.0
201,3,max_conf_interval_size_default,0.04,8,0.0062,3400.0
202,3,max_conf_interval_size_default,0.04,5,0.0047,3623.0
203,3,max_conf_interval_size_default,0.04,1,0.0092,4277.0
204,3,max_conf_interval_size_default,0.04,6,0.0107,6137.0
205,3,max_conf_interval_size_default,0.04,4,0.0053,3755.0
206,3,max_conf_interval_size_default,0.04,9,0.0034,4670.0
207,3,max_conf_interval_size_default,0.04,3,0.0062,3602.0
208,3,max_conf_interval_size_default,0.04,7,0.0063,4619.0
209,3,max_conf_interval_size_default,0.04,0,0.0047,3225.0
210,3,max_conf_interval_size_default,0.07,5,0.0058,3815.0
211,3,max_conf_interval_size_default,0.07,8,0.0062,3030.0
212,3,max_conf_interval_size_default,0.07,2,0.0191,3795.0
213,3,max_conf_interval_size_default,0.07,6,0.0074,5576.0
214,3,max_conf_interval_size_default,0.07,1,0.0093,4323.0
215,3,max_conf_interval_size_default,0.07,3,0.0062,3468.0
216,3,max_conf_interval_size_default,0.07,9,0.0034,4608.0
217,3,max_conf_interval_size_default,0.07,4,0.0061,3488.0
218,3,max_conf_interval_size_default,0.07,0,0.0047,2944.0
219,3,max_conf_interval_size_default,0.07,7,0.0062,4493.0
220,3,max_conf_interval_size_default,0.1,2,0.0153,3556.0
221,3,max_conf_interval_size_default,0.1,8,0.0062,2768.0
222,3,max_conf_interval_size_default,0.1,5,0.0058,3333.0
223,3,max_conf_interval_size_default,0.1,1,0.0094,4118.0
224,3,max_conf_interval_size_default,0.1,6,0.0063,5328.0
225,3,max_conf_interval_size_default,0.1,4,0.0061,3408.0
226,3,max_conf_interval_size_default,0.1,9,0.0034,4202.0
227,3,max_conf_interval_size_default,0.1,3,0.0068,3239.0
228,3,max_conf_interval_size_default,0.1,7,0.0062,4533.0
229,3,max_conf_interval_size_default,0.1,0,0.0047,2986.0
230,3,max_conf_interval_size_default,0.01,6,0.0073,6392.0
231,3,max_conf_interval_size_default,0.01,1,0.0086,5609.0
232,3,max_conf_interval_size_default,0.01,5,0.0058,4468.0
233,3,max_conf_interval_size_default,0.01,8,0.0062,3726.0
234,3,max_conf_interval_size_default,0.01,2,0.0162,4417.0
235,3,max_conf_interval_size_default,0.01,0,0.0047,3734.0
236,3,max_conf_interval_size_default,0.01,7,0.0062,5654.0
237,3,max_conf_interval_size_default,0.01,3,0.0062,4004.0
238,3,max_conf_interval_size_default,0.01,9,0.0034,5642.0
239,3,max_conf_interval_size_default,0.01,4,0.0088,4466.0
240,3,return_estimate_on_incomplete_runs,False,4,0.0061,3362.0
241,3,return_estimate_on_incomplete_runs,False,3,0.0068,3271.0
242,3,return_estimate_on_incomplete_runs,False,9,0.0034,4154.0
243,3,return_estimate_on_incomplete_runs,False,7,0.0062,4533.0
244,3,return_estimate_on_incomplete_runs,False,0,0.0047,2971.0
245,3,return_estimate_on_incomplete_runs,False,8,0.0062,2781.0
246,3,return_estimate_on_incomplete_runs,False,2,0.0153,3590.0
247,3,return_estimate_on_incomplete_runs,False,5,0.0058,3323.0
248,3,return_estimate_on_incomplete_runs,False,1,0.0094,4228.0
249,3,return_estimate_on_incomplete_runs,False,6,0.0063,5322.0
250,3,return_estimate_on_incomplete_runs,True,7,0.0062,4518.0
251,3,return_estimate_on_incomplete_runs,True,0,0.0047,2976.0
252,3,return_estimate_on_incomplete_runs,True,4,0.0061,3418.0
253,3,return_estimate_on_incomplete_runs,True,3,0.0068,3262.0
254,3,return_estimate_on_incomplete_runs,True,9,0.0034,4157.0
255,3,return_estimate_on_incomplete_runs,True,1,0.0094,4102.0
256,3,return_estimate_on_incomplete_runs,True,6,0.0063,5335.0
257,3,return_estimate_on_incomplete_runs,True,8,0.0062,2727.0
258,3,return_estimate_on_incomplete_runs,True,2,0.0153,3565.0
259,3,return_estimate_on_incomplete_runs,True,5,0.0058,3324.0
260,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.01,5,0.0058,3325.0
261,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.01,2,0.0155,3579.0
262,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.01,8,0.0062,2876.0
263,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.01,6,0.0063,5361.0
264,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.01,1,0.0094,4160.0
265,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.01,9,0.0034,3895.0
266,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.01,3,0.0068,2891.0
267,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.01,4,0.0061,3263.0
268,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.01,0,0.0047,3023.0
269,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.01,7,0.0062,4544.0
270,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.01,1,0.0094,4243.0
271,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.01,6,0.0063,5353.0
272,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.01,8,0.0062,2907.0
273,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.01,2,0.0155,3577.0
274,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.01,5,0.0058,3349.0
275,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.01,7,0.0062,4679.0
276,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.01,0,0.0047,2999.0
277,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.01,4,0.0061,3307.0
278,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.01,3,0.0068,2974.0
279,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.01,9,0.0034,4221.0
280,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.1,3,0.0068,2954.0
281,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.1,9,0.0034,4005.0
282,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.1,4,0.0061,3247.0
283,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.1,0,0.0047,3111.0
284,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.1,7,0.0062,4566.0
