openmlid,learner,train_size,seed,traintime,error_rate
1457,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,4,0,184,0.9766042780748664
1457,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,8,0,212,0.9705093833780161
1457,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,16,0,211,0.9548517520215634
1457,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,32,0,221,0.946866485013624
1457,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,64,0,328,0.899025069637883
1457,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,128,0,373,0.8170553935860059
1457,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,256,0,665,0.6213826366559485
1457,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,512,0,1010,0.4919028340080972
1457,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,1024,0,1999,0.3529411764705882
1457,<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>,2,0,148,0.9699599465954606
1457,<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>,4,0,522,0.9632352941176472
1457,<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>,8,0,1380,0.9510723860589811
1457,<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>,16,0,6429,0.9582210242587601
1457,<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>,32,0,23886,0.9482288828337876
1457,<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>,64,0,55253,0.8871866295264624
1457,<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>,128,0,134756,0.8301749271137027
1457,<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>,256,0,430662,0.7274919614147909
1457,<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>,512,0,1337701,0.6214574898785425
1457,<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>,1024,0,3172383,0.5420168067226891
1457,<class 'sklearn.svm._classes.LinearSVC'>,2,1,98,0.9753004005340454
1457,<class 'sklearn.svm._classes.LinearSVC'>,4,1,35,0.9699197860962568
1457,<class 'sklearn.svm._classes.LinearSVC'>,8,1,61,0.9416890080428956
1457,<class 'sklearn.svm._classes.LinearSVC'>,16,1,145,0.9022911051212938
1457,<class 'sklearn.svm._classes.LinearSVC'>,32,1,359,0.8514986376021798
1457,<class 'sklearn.svm._classes.LinearSVC'>,64,1,871,0.8105849582172702
1457,<class 'sklearn.svm._classes.LinearSVC'>,128,1,1206,0.7660349854227405
1457,<class 'sklearn.svm._classes.LinearSVC'>,256,1,3033,0.6551446945337621
1457,<class 'sklearn.svm._classes.LinearSVC'>,512,1,5951,0.4838056680161943
1457,<class 'sklearn.svm._classes.LinearSVC'>,1024,1,13746,0.2815126050420168
